frequency HVSR HVSR+1STD HVSR-1STD
0.0052556 1.846 2.146 1.546
0.00573128 1.864 2.135 1.593
0.00625 1.882 2.126 1.639
0.00681567 1.887 2.126 1.649
0.00743254 1.896 2.123 1.669
0.00810525 1.901 2.116 1.685
0.00883883 1.897 2.114 1.681
0.00963882 1.897 2.110 1.683
0.0105112 1.891 2.109 1.674
0.0114626 1.862 2.088 1.637
0.0125 1.828 2.059 1.596
0.0136313 1.792 2.026 1.558
0.0148651 1.740 1.976 1.504
0.0162105 1.693 1.923 1.463
0.0176777 1.648 1.895 1.402
0.0192776 1.607 1.880 1.335
0.0210224 1.574 1.885 1.264
0.0229251 1.517 1.838 1.195
0.025 1.429 1.733 1.126
0.0272627 1.347 1.623 1.070
0.0297302 1.307 1.538 1.075
0.032421 1.293 1.499 1.086
0.0353553 1.257 1.440 1.075
0.0385553 1.237 1.392 1.081
0.0420448 1.219 1.357 1.082
0.0458502 1.206 1.338 1.073
0.05 1.213 1.346 1.079
0.0545254 1.232 1.365 1.098
0.0594604 1.254 1.389 1.119
0.064842 1.265 1.402 1.127
0.0707107 1.203 1.330 1.075
0.0771105 1.119 1.220 1.018
0.0840896 1.063 1.150 0.976
0.0917004 1.046 1.105 0.987
0.1 1.036 1.086 0.985
0.109051 1.027 1.079 0.976
0.118921 1.025 1.074 0.977
0.129684 1.021 1.067 0.974
0.141421 1.014 1.061 0.967
0.154221 1.019 1.068 0.970
0.168179 1.033 1.086 0.979
0.183401 1.043 1.100 0.986
0.2 1.049 1.108 0.989
0.218102 1.057 1.119 0.995
0.237841 1.069 1.136 1.002
0.259368 1.094 1.166 1.023
0.282843 1.148 1.221 1.075
0.308442 1.202 1.274 1.130
0.336359 1.194 1.267 1.121
0.366802 1.163 1.262 1.063
0.4 1.182 1.298 1.066
0.436203 1.213 1.335 1.091
0.475683 1.267 1.390 1.145
0.518736 1.333 1.452 1.214
0.565685 1.315 1.435 1.195
0.616884 1.211 1.313 1.109
0.672717 1.133 1.217 1.049
0.733603 1.098 1.159 1.037
0.8 1.088 1.125 1.052
0.872406 1.070 1.094 1.046
0.951366 1.053 1.078 1.028
1.03747 1.079 1.115 1.042
1.13137 1.121 1.179 1.064
1.23377 1.145 1.210 1.080
1.34543 1.155 1.225 1.085
1.46721 1.154 1.224 1.084
1.6 1.154 1.223 1.085
1.74481 1.160 1.230 1.090
1.90273 1.173 1.243 1.103
2.07494 1.168 1.224 1.112
2.26274 1.177 1.234 1.121
2.46754 1.200 1.258 1.142
2.69087 1.207 1.262 1.151
2.93441 1.217 1.267 1.168
3.2 1.226 1.263 1.189
3.48962 1.242 1.268 1.215
3.80546 1.260 1.288 1.231
4.14989 1.268 1.300 1.237
4.52548 1.265 1.300 1.230
4.93507 1.282 1.324 1.239
5.38174 1.329 1.382 1.275
5.86883 1.365 1.429 1.300
6.4 1.409 1.485 1.333
6.97925 1.426 1.502 1.349
7.61093 1.439 1.516 1.362
8.29977 1.467 1.546 1.387
9.05097 1.457 1.529 1.386
